host,indice,grado,velocidad,visibilidad,conversion,automatizacion,stack,whatsapp,analytics,meta_pixel,lcp_movil
crcosmetica.com,57,C,89,78,34,0,Shopify,no,no,no,3.38
kosmeticscr.com,55,C,45,92,40,30,,no,no,no,20.49
bebeautycostarica.com,63,C,50,83,90,26,Shopify,sí,no,no,
hibeautycr.com,61,C,60,90,72,10,Shopify,no,no,no,16.65
kalaluacr.com,57,C,43,100,40,30,,no,no,no,16.14
beauticitycr.com,61,C,64,82,74,10,Shopify,no,no,no,9.4
kokoacr.com,56,C,55,85,40,30,,no,no,no,24.41
coccocosmetics.com,31,E,74,24,10,0,,no,no,no,3.78
dermaluxcr.com,63,C,50,76,100,26,Shopify,sí,no,no,
cosmeticoscostarica.store,62,C,56,66,62,66,WordPress,no,sí,sí,16.81
cr.faces.com,36,E,14,34,38,72,vtex.render-server@8.180.1,sí,sí,sí,13.56
cr.loccitane.com,63,C,47,100,74,20,Shopify,no,sí,no,12.68
credobeauty.com,58,C,50,76,62,40,Shopify,no,sí,no,
recapbeauty.com,62,C,50,74,90,36,Shopify,sí,sí,no,
needbeauty.com,62,C,29,100,64,50,Shopify,no,sí,no,33.71